City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bilibino,RU,2022-10-16 23:51:13,68.0546,166.4372,-2.36,96,81,1.41
68,Coquimbo,CL,2022-10-16 23:46:53,-29.9533,-71.3436,55.13,87,75,6.91
69,Busselton,AU,2022-10-16 23:51:14,-33.65,115.3333,57.6,74,62,9.6
70,Muratbey,TR,2022-10-16 23:51:14,41.0963,28.4923,60.04,72,79,18.37
71,Algiers,DZ,2022-10-16 23:50:00,36.7525,3.042,69.62,83,100,2.3
72,La Ronge,CA,2022-10-16 23:51:15,55.1001,-105.2842,35.85,55,100,9.22
73,Atuona,PF,2022-10-16 23:51:15,-9.8,-139.0333,76.5,74,8,9.31
74,Lubango,AO,2022-10-16 23:51:16,-14.9172,13.4925,59.13,89,73,2.1
75,Poronaysk,RU,2022-10-16 23:51:16,49.2167,143.1167,46.98,53,100,10.83
76,Hammerfest,NO,2022-10-16 23:51:16,70.6634,23.6821,43.25,93,100,2.3
77,Atamanovka,RU,2022-10-16 23:51:17,51.93,113.63,18.03,69,26,2.15
78,Bartica,GY,2022-10-16 23:51:17,6.4,-58.6167,80.92,92,100,3.38
79,Alcobendas,ES,2022-10-16 23:51:18,40.5475,-3.642,68.83,57,20,4.61
80,Touros,BR,2022-10-16 23:51:18,-5.1989,-35.4608,77.58,79,8,18.21
81,Castleisland,IE,2022-10-16 23:51:19,52.2333,-9.4667,51.35,84,39,18.99
82,San Lorenzo,PY,2022-10-16 23:51:19,-25.3333,-57.5333,79.74,61,20,7.0
83,Port Hardy,CA,2022-10-16 23:51:19,50.6996,-127.4199,73.58,38,0,8.05
84,Hovd,MN,2022-10-16 23:51:20,48.0056,91.6419,30.67,46,66,0.31
85,Kasongo-Lunda,CD,2022-10-16 23:51:20,-6.4667,16.8167,67.08,97,99,1.57
86,Cidreira,BR,2022-10-16 23:51:21,-30.1811,-50.2056,64.35,97,86,8.14
87,Iskateley,RU,2022-10-16 23:51:21,67.6803,53.1512,38.86,94,89,9.42
88,Butaritari,KI,2022-10-16 23:51:21,3.0707,172.7902,81.32,73,59,14.14
89,Farafangana,MG,2022-10-16 23:51:22,-22.8167,47.8333,66.56,88,0,6.22
90,Gawler,AU,2022-10-16 23:51:22,-34.6,138.7333,70.47,52,59,12.97
91,Buala,SB,2022-10-16 23:51:23,-8.145,159.5921,85.26,66,60,8.97
92,Rantauprapat,ID,2022-10-16 23:51:23,2.1,99.8333,73.54,92,100,1.32
93,Peleduy,RU,2022-10-16 23:51:23,59.6289,112.7406,29.05,87,100,7.14
94,Lincoln,US,2022-10-16 23:51:04,40.8,-96.667,51.57,38,1,5.99
95,Lebu,CL,2022-10-16 23:47:54,-37.6167,-73.65,51.6,92,73,14.45
96,Casablanca,MA,2022-10-16 23:52:24,33.5928,-7.6192,70.02,63,50,5.44
97,Fortuna,US,2022-10-16 23:48:08,40.5982,-124.1573,73.92,59,20,8.05
98,Marana,US,2022-10-16 23:52:25,32.4367,-111.2254,77.99,40,0,6.91
99,Qaanaaq,GL,2022-10-16 23:52:25,77.484,-69.3632,16.93,89,98,3.98
100,Tabas,IR,2022-10-16 23:52:26,33.5959,56.9244,71.51,14,2,2.73
101,Krasnozerskoye,RU,2022-10-16 23:52:26,53.9828,79.2374,47.88,78,100,8.63
102,Barrow,US,2022-10-16 23:52:26,71.2906,-156.7887,30.22,80,100,21.85
103,Ribeira Grande,PT,2022-10-16 23:52:27,38.5167,-28.7,65.77,78,64,10.0
104,Havoysund,NO,2022-10-16 23:52:27,70.9963,24.6622,44.83,84,100,9.55
105,Mattru,SL,2022-10-16 23:52:28,7.6244,-11.8332,73.06,97,99,2.15
106,Ponta Do Sol,PT,2022-10-16 23:52:28,32.6667,-17.1,70.43,73,58,3.8
107,Guerrero Negro,MX,2022-10-16 23:52:29,27.9769,-114.0611,71.71,59,7,14.0
108,Urucara,BR,2022-10-16 23:52:29,-2.5364,-57.76,76.82,85,100,2.57
109,Broken Hill,AU,2022-10-16 23:52:30,-31.95,141.4333,66.72,38,0,12.21
110,Kapaa,US,2022-10-16 23:52:30,22.0752,-159.319,84.52,63,0,11.5
111,Hojai,IN,2022-10-16 23:52:30,26.0,92.8667,70.38,94,0,1.72
112,Hay River,CA,2022-10-16 23:52:31,60.8156,-115.7999,46.38,42,40,10.36
113,Tuktoyaktuk,CA,2022-10-16 23:52:32,69.4541,-133.0374,28.4,80,100,19.57
114,Carbondale,US,2022-10-16 23:51:14,37.7273,-89.2168,64.4,45,0,8.05
115,Hudson Bay,CA,2022-10-16 23:52:32,52.85,-102.3842,31.39,30,91,4.43
116,Constitucion,CL,2022-10-16 23:52:33,-35.3333,-72.4167,51.06,91,60,13.85
117,Stromness,GB,2022-10-16 23:52:33,58.965,-3.296,46.87,82,71,10.0
118,Avarua,CK,2022-10-16 23:52:34,-21.2078,-159.775,78.85,65,75,12.66
119,Laguna,US,2022-10-16 23:52:34,38.421,-121.4238,75.31,55,0,11.5
120,Marzuq,YE,2022-10-16 23:52:34,14.4,46.4667,69.13,64,45,0.67
121,Luau,AO,2022-10-16 23:52:35,-10.7073,22.2247,70.5,61,67,5.26
122,Maloy,NO,2022-10-16 23:52:35,61.9353,5.1136,49.73,1,80,23.38
123,Blackwater,AU,2022-10-16 23:52:36,-23.5833,148.8833,77.9,64,80,5.91
124,Bambous Virieux,MU,2022-10-16 23:52:36,-20.3428,57.7575,71.85,83,40,10.36
125,Mysliborz,PL,2022-10-16 23:50:24,52.9238,14.8679,54.05,80,73,0.25
126,Chardara,KZ,2022-10-16 23:52:37,41.2547,67.9692,60.08,48,100,10.4
127,Esperance,AU,2022-10-16 23:52:37,-33.8667,121.9,58.87,76,99,22.03
128,Ancud,CL,2022-10-16 23:52:38,-41.8697,-73.8203,51.06,88,97,4.74
129,Hun,LY,2022-10-16 23:52:38,29.1268,15.9477,66.54,61,70,3.53
130,Chicama,PE,2022-10-16 23:52:39,-7.8447,-79.1469,59.54,80,84,6.69
131,Lavrentiya,RU,2022-10-16 23:52:39,65.5833,-171.0,31.75,74,100,24.14
132,Niamey,NE,2022-10-16 23:52:40,13.5137,2.1098,84.49,51,0,4.61
133,Prainha,BR,2022-10-16 23:52:40,-1.8,-53.48,79.97,69,76,3.4
134,Shubarshi,KZ,2022-10-16 23:52:40,48.5872,57.1869,40.91,71,34,8.32
135,Arraial Do Cabo,BR,2022-10-16 23:52:41,-22.9661,-42.0278,71.35,87,90,20.4
136,Narsaq,GL,2022-10-16 23:52:41,60.9167,-46.05,23.34,70,12,7.18
137,Soyo,AO,2022-10-16 23:53:42,-6.1349,12.3689,76.35,86,90,6.6
138,Taltal,CL,2022-10-16 23:53:42,-25.4,-70.4833,60.75,69,19,4.79
139,Port Alfred,ZA,2022-10-16 23:53:43,-33.5906,26.891,63.18,96,100,15.68
140,Norman Wells,CA,2022-10-16 23:53:43,65.282,-126.8329,33.84,86,100,11.5
141,Catuday,PH,2022-10-16 23:53:43,16.2923,119.8062,80.62,79,99,14.79
142,Warrnambool,AU,2022-10-16 23:53:44,-38.3833,142.4833,52.81,64,84,3.2
143,Namibe,AO,2022-10-16 23:53:44,-15.1961,12.1522,68.02,86,82,4.54
144,Svetlyy,RU,2022-10-16 23:53:45,54.675,20.1347,54.97,89,24,8.81
145,San Patricio,US,2022-10-16 23:53:45,28.017,-97.5169,87.66,57,54,11.23
146,Teguldet,RU,2022-10-16 23:53:45,57.3064,88.1667,34.88,82,95,4.16
147,Pareora,NZ,2022-10-16 23:53:46,-44.4871,171.2132,56.17,80,100,9.51
148,Americo Brasiliense,BR,2022-10-16 23:53:46,-21.7244,-48.1017,71.69,66,100,8.72
149,Ketchikan,US,2022-10-16 23:53:47,55.3422,-131.6461,55.38,78,18,2.82
150,Chuy,UY,2022-10-16 23:53:47,-33.6971,-53.4616,58.48,93,100,18.66
151,High Level,CA,2022-10-16 23:50:10,58.5169,-117.136,46.51,49,0,9.22
152,Puerto Ayora,EC,2022-10-16 23:50:46,-0.7393,-90.3518,67.55,86,90,7.0
153,Corinto,GR,2022-10-16 23:53:48,37.9407,22.9573,64.89,70,0,6.4
154,Antofagasta,CL,2022-10-16 23:53:48,-23.65,-70.4,60.08,80,22,4.5
155,Port Lincoln,AU,2022-10-16 23:53:49,-34.7333,135.8667,60.55,71,74,17.72
156,Dawei,MM,2022-10-16 23:53:49,14.0833,98.2,73.15,78,99,6.2
