,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
47,47,Plettenberg Bay,ZA,-34.0527,23.3716,65.35,86,41,4.83,light rain,Thanda Vista B&B
48,48,Aneho,TG,6.2333,1.6,76.1,87,100,1.16,light rain,Hotel La Linette
50,50,Oistins,BB,13.0667,-59.5333,80.69,78,20,11.5,few clouds,Butterfly Beach Hotel
54,54,Beloha,MG,-25.1667,45.05,77.45,56,0,2.62,clear sky,
55,55,Salalah,OM,17.0151,54.0924,86.09,32,20,0.0,few clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
57,57,Attur,IN,11.6,78.6167,82.99,75,100,6.15,overcast clouds,Sundaresan CSC centre
58,58,Victoria,HK,22.2855,114.1577,84.38,46,100,20.0,overcast clouds,Mini Central
62,62,Tiznit,MA,29.5833,-9.5,72.03,47,2,7.58,light rain,
64,64,Hwange,ZW,-18.3693,26.5019,75.49,34,61,7.18,broken clouds,Hwange Colliery Guest House
65,65,Saint George,US,37.1041,-113.5841,68.59,35,0,5.75,clear sky,Best Western Plus Abbey Inn
