City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lebu,CL,-37.6167,-73.65,51.08,89,99,12.59,overcast clouds
80,Yei,SS,4.095,30.6779,66.76,97,100,2.73,light rain
81,Mogadishu,SO,2.0371,45.3438,79.41,78,57,11.54,broken clouds
82,Codrington,AU,-38.2667,141.9667,57.87,62,76,9.73,broken clouds
83,Jizan,SA,17.3333,42.6667,86.94,50,0,1.79,clear sky
84,Porto Walter,BR,-8.2686,-72.7439,71.38,98,100,2.15,overcast clouds
85,Narsaq,GL,60.9167,-46.05,30.42,69,69,7.16,broken clouds
86,Busselton,AU,-33.65,115.3333,65.7,51,63,10.02,broken clouds
87,Chuy,UY,-33.6971,-53.4616,58.6,90,100,15.19,overcast clouds
88,Salamiyah,SY,35.0113,37.0532,70.45,50,1,1.66,clear sky
89,Saint-Joseph,RE,-21.3667,55.6167,75.58,71,9,10.49,clear sky
90,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,83,20,4.61,few clouds
91,Guarapari,BR,-20.6667,-40.4975,67.89,88,46,6.13,scattered clouds
92,Kukuna,SL,9.4,-12.6667,72.19,98,99,1.83,light rain
93,Thornbury,GB,52.2333,-2.55,58.01,85,96,12.77,overcast clouds
94,Sorland,NO,67.667,12.6934,46.26,76,30,7.45,scattered clouds
95,Bilma,NE,18.6853,12.9164,74.14,33,0,12.73,clear sky
96,Oksfjord,NO,70.2396,22.3479,44.78,86,100,6.78,overcast clouds
97,Vestmanna,FO,62.1564,-7.1664,43.72,81,75,3.44,light rain
98,Bud,US,39.447,-86.1758,50.02,59,83,6.71,broken clouds
99,Georgetown,MY,5.4112,100.3354,89.53,71,20,5.75,few clouds
100,Saint-Augustin,CA,51.226,-58.6502,49.41,95,100,17.27,light rain
101,Palma,ES,39.5694,2.6502,69.21,87,20,5.75,few clouds
102,Mizdah,LY,31.4451,12.9801,58.59,88,22,4.85,few clouds
103,Marsh Harbour,BS,26.5412,-77.0636,79.23,67,2,12.55,clear sky
104,Birao,CF,10.2849,22.7882,71.29,71,98,4.07,overcast clouds
105,Sokoni,TZ,-6.4333,39.55,76.71,79,30,8.12,scattered clouds
106,Jibuti,DJ,11.5,42.5,79.5,58,15,18.81,few clouds
107,Panjab,AF,34.388,67.0233,48.56,23,0,6.35,clear sky
108,Boda,CF,4.3189,17.4695,66.33,93,99,1.52,overcast clouds
109,Jalu,LY,29.0331,21.5482,63.43,71,0,7.92,clear sky
110,Kirovohrad,UA,48.5132,32.2597,40.64,71,4,3.76,clear sky
111,Sur,OM,22.5667,59.5289,84.56,31,78,6.06,broken clouds
112,Touros,BR,-5.1989,-35.4608,76.71,81,95,14.61,overcast clouds
113,Inhambane,MZ,-23.865,35.3833,78.78,78,40,4.61,scattered clouds
114,Barcelos,PT,41.5388,-8.6151,65.91,89,99,5.48,overcast clouds
115,Ribeira Grande,PT,38.5167,-28.7,62.78,83,47,13.0,moderate rain
116,Amstetten,AT,48.1229,14.8721,55.02,90,23,3.4,few clouds
117,Mahibadhoo,MV,3.7833,72.9667,81.57,76,100,18.43,overcast clouds
118,Shahapur,IN,19.45,73.3333,82.8,75,86,3.6,overcast clouds
119,Loiza,PR,18.4313,-65.8802,80.58,83,20,0.0,few clouds
120,Mandera,KE,3.9366,41.867,79.38,66,96,11.88,overcast clouds
121,Quatre Cocos,MU,-20.2078,57.7625,73.51,76,87,14.14,light rain
122,Cockburn Town,TC,21.4612,-71.1419,81.09,75,21,8.08,few clouds
123,Cap-Aux-Meules,CA,47.3821,-61.8597,53.62,94,100,6.91,overcast clouds
124,Talnakh,RU,69.4865,88.3972,27.21,96,100,8.23,light snow
125,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,2.3,overcast clouds
126,Shelburne,CA,44.0787,-80.2041,43.3,83,99,3.47,overcast clouds
127,Polonnaruwa,LK,7.9333,81.0,91.13,47,96,6.13,overcast clouds
128,Novyy Urengoy,RU,66.0833,76.6333,36.45,97,100,5.3,light rain
129,Ponta Do Sol,PT,32.6667,-17.1,70.72,70,60,5.26,broken clouds
130,Castro,BR,-24.7911,-50.0119,56.39,96,1,2.17,clear sky
131,Omboue,GA,-1.5746,9.2618,74.16,95,37,3.94,scattered clouds
132,Dharan,NP,26.8125,87.2835,81.41,47,0,3.53,clear sky
133,Robertsport,LR,6.7533,-11.3686,76.17,86,94,4.0,overcast clouds
134,San Andres,CO,12.5847,-81.7006,82.42,78,40,6.91,scattered clouds
135,Planaltina,BR,-15.4528,-47.6142,66.74,42,7,4.12,clear sky
136,Skibbereen,IE,51.55,-9.2667,54.1,76,34,26.04,scattered clouds
137,Marabba,SD,12.35,32.1833,81.61,62,54,9.42,broken clouds
138,Petropavlovskoye,RU,52.0712,84.107,57.67,53,94,21.77,overcast clouds
139,Bara,NG,10.3744,10.7288,71.22,77,37,4.23,scattered clouds
140,Rio Grande,BR,-32.035,-52.0986,59.7,94,7,13.06,clear sky
141,Qaqortoq,GL,60.7167,-46.0333,29.03,62,62,7.23,broken clouds
142,Saint-Philippe,RE,-21.3585,55.7679,76.59,77,12,9.71,few clouds
143,Barra Do Garcas,BR,-15.89,-52.2567,75.7,31,3,0.72,clear sky
144,Namibe,AO,-15.1961,12.1522,67.87,85,95,6.2,overcast clouds
145,Dingle,PH,10.9995,122.6711,85.59,72,89,11.74,overcast clouds
146,Shihezi,CN,44.3,86.0333,65.39,15,31,5.5,scattered clouds
147,Bandarbeyla,SO,9.4942,50.8122,79.54,74,6,2.77,clear sky
148,Misratah,LY,32.3754,15.0925,71.98,62,77,6.91,broken clouds
149,Mopipi,BW,-21.1833,24.8833,72.25,49,97,15.59,overcast clouds
150,Morros,BR,-9.4467,-46.3003,76.71,35,34,3.58,scattered clouds
151,Tyumentsevo,RU,53.3224,81.498,49.21,68,100,20.13,overcast clouds
152,Belmonte,BR,-15.8631,-38.8828,71.29,89,20,3.44,few clouds
153,Sahbuz,AZ,39.4072,45.5739,55.0,44,80,2.13,broken clouds
154,Lixourion,GR,38.2019,20.4314,64.4,64,0,5.14,clear sky
155,Port Said,EG,31.2565,32.2841,71.58,83,0,16.11,clear sky
156,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,10.36,broken clouds
157,Lardos,GR,36.0942,28.0157,72.95,71,14,5.57,few clouds
158,Lagoa,PT,39.05,-27.9833,64.9,73,72,30.38,light rain
159,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,5.75,light rain
160,Camacha,PT,33.0833,-16.3333,63.82,88,20,3.44,few clouds
161,Luderitz,NA,-26.6481,15.1594,57.63,92,0,7.07,clear sky
162,Axim,GH,4.8699,-2.2405,75.4,88,75,1.79,light rain
163,Sindor,RU,62.8629,51.8905,40.08,94,99,7.07,overcast clouds
164,Muisne,EC,0.6,-80.0333,73.29,85,100,9.04,overcast clouds
165,Novita,CO,4.9551,-76.6053,73.6,99,100,1.57,overcast clouds
166,Olavarria,AR,-36.8927,-60.3225,51.03,84,78,7.78,broken clouds
167,Dalton,US,34.7698,-84.9702,63.01,95,100,0.0,overcast clouds
168,Minsk,BY,53.9,27.5667,47.95,84,100,9.26,overcast clouds
169,Caravelas,BR,-17.7125,-39.2481,73.53,82,72,6.44,broken clouds
170,Nalut,LY,30.3333,10.85,65.68,59,77,9.26,broken clouds
171,Kaspiysk,RU,42.8816,47.6392,60.98,93,100,4.47,overcast clouds
172,Santa Fe,AR,-31.6333,-60.7,58.98,82,0,4.0,clear sky
173,Kashary,RU,49.04,41.0056,40.59,69,0,5.41,clear sky
174,Torbay,CA,47.6666,-52.7314,53.58,94,100,25.32,light intensity shower rain
175,Middleton,GB,53.55,-2.2,57.97,86,100,12.1,overcast clouds
176,Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.33,59,30,4.63,scattered clouds
177,Morant Bay,JM,17.8815,-76.4093,82.02,80,0,5.55,clear sky
178,Faya,SA,18.3851,42.4509,61.32,26,0,9.08,clear sky
179,Wrexham,GB,53.0,-3.0,56.95,87,91,15.03,overcast clouds
180,Gamba,GA,-2.65,10.0,74.34,94,86,4.29,overcast clouds
181,Abu Samrah,SY,35.3029,37.1841,70.48,43,0,3.36,clear sky
182,Chiredzi,ZW,-21.05,31.6667,71.74,73,54,11.99,broken clouds
183,Nikolsk,RU,53.7189,46.0712,38.07,82,12,5.61,few clouds
184,Alibag,IN,18.6411,72.8792,89.67,70,82,5.39,broken clouds
185,Arraial Do Cabo,BR,-22.9661,-42.0278,70.23,90,99,21.03,overcast clouds
186,Rocky Mount,US,35.9382,-77.7905,67.78,68,100,5.75,overcast clouds
187,Mabaruma,GY,8.2,-59.7833,73.33,98,96,1.7,overcast clouds
188,Manakara,MG,-22.1333,48.0167,74.16,66,2,6.13,clear sky
189,Abu Kamal,SY,34.4506,40.9171,81.28,18,94,4.68,overcast clouds
